IPv4-адрес,Критерий доступности,Сумма чисел
13.32.18.112,port_80_open,175
13.32.18.152,port_80_open,215
13.32.18.192,port_80_open,255
13.32.18.232,port_80_open,295
13.32.19.16,port_80_open,80
13.32.19.56,port_80_open,120
13.32.19.96,port_80_open,160
13.32.19.136,port_80_open,200
13.32.19.176,port_80_open,240
13.32.19.216,port_80_open,280
13.32.20.0,port_80_open,65
13.32.20.40,port_80_open,105
13.32.20.80,port_80_open,145
13.32.20.120,port_80_open,185
13.32.20.160,port_80_open,225
13.32.20.200,port_80_open,265
13.32.20.240,port_80_open,305
13.32.21.24,port_80_open,90
13.32.21.64,port_80_open,130
13.32.21.104,port_80_open,170
13.32.21.144,port_80_open,210
13.32.21.184,port_80_open,250
13.32.21.224,port_80_open,290
13.32.22.8,port_80_open,75
13.32.22.48,port_80_open,115
13.32.22.88,port_80_open,155
13.32.22.128,port_80_open,195
13.32.22.168,port_80_open,235
13.32.22.208,port_80_open,275
13.32.22.248,port_80_open,315
13.32.23.32,port_80_open,100
13.32.23.72,port_80_open,140
13.32.23.112,port_80_open,180
13.32.23.152,port_80_open,220
13.32.23.192,port_80_open,260
13.32.23.232,port_80_open,300
13.32.24.16,port_80_open,85
13.32.24.56,port_80_open,125
13.32.24.96,port_80_open,165
13.32.24.136,port_80_open,205
13.32.24.176,port_80_open,245
13.32.24.216,port_80_open,285
13.32.25.0,port_80_open,70
13.32.25.40,port_80_open,110
13.32.25.80,port_80_open,150
13.32.25.120,port_80_open,190
13.32.25.160,port_80_open,230
13.32.25.200,port_80_open,270
13.32.25.240,port_80_open,310
13.32.26.24,port_80_open,95
13.32.26.64,port_80_open,135
13.32.26.104,port_80_open,175
13.32.26.144,port_80_open,215
13.32.26.184,port_80_open,255
13.32.26.224,port_80_open,295
13.32.27.8,port_80_open,80
13.32.27.48,port_80_open,120
13.32.27.88,port_80_open,160
13.32.27.128,port_80_open,200
13.32.27.168,port_80_open,240
13.32.27.208,port_80_open,280
13.32.27.248,port_80_open,320
13.32.28.32,port_80_open,105
13.32.28.72,port_80_open,145
13.32.28.112,port_80_open,185
13.32.28.152,port_80_open,225
13.32.28.192,port_80_open,265
13.32.28.232,port_80_open,305
13.32.29.16,port_80_open,90
13.32.29.56,port_80_open,130
13.32.29.96,port_80_open,170
13.32.29.136,port_80_open,210
13.32.29.176,port_80_open,250
13.32.29.216,port_80_open,290
13.32.30.0,port_80_open,75
13.32.30.40,port_80_open,115
13.32.30.80,port_80_open,155
13.32.30.120,port_80_open,195
13.32.30.160,port_80_open,235
13.32.30.200,port_80_open,275
13.32.30.240,port_80_open,315
157.240.0.20,port_80_open,417
157.240.0.40,port_80_open,437
157.240.0.60,port_80_open,457
157.240.0.160,port_443_open,557
157.240.0.220,port_443_open,617
157.240.1.4,port_80_open,402
157.240.1.24,port_443_open,422
157.240.1.204,port_443_open,602
157.240.1.224,port_443_open,622
157.240.3.12,port_80_open,412
157.240.3.32,port_80_open,432
157.240.3.172,port_80_open,572
157.240.3.192,port_443_open,592
157.240.3.212,port_443_open,612
157.240.5.20,port_80_open,422
157.240.5.40,port_80_open,442
157.240.5.60,port_80_open,462
157.240.5.160,port_443_open,562
157.240.5.220,port_443_open,622
157.240.7.8,port_80_open,412
157.240.7.28,port_80_open,432
157.240.7.48,port_8080_open,452
157.240.7.128,port_443_open,532
157.240.7.168,port_443_open,572
157.240.7.208,port_443_open,612
157.240.8.12,port_443_open,417
157.240.8.32,port_443_open,437
157.240.8.52,port_80_open,457
157.240.8.172,port_80_open,577
157.240.8.192,port_443_open,597
157.240.9.16,port_443_open,422
157.240.9.36,port_80_open,442
157.240.9.56,port_80_open,462
157.240.9.196,port_443_open,602
157.240.11.4,port_80_open,412
157.240.11.204,port_443_open,612
157.240.11.224,port_443_open,632
157.240.12.8,port_443_open,417
157.240.12.48,port_8080_open,457
157.240.12.168,port_443_open,577
157.240.12.208,port_443_open,617
157.240.13.12,port_80_open,422
157.240.13.32,port_443_open,442
157.240.13.172,port_80_open,582
157.240.13.192,port_443_open,602
157.240.13.212,port_443_open,622
157.240.14.16,port_80_open,427
157.240.14.36,port_80_open,447
157.240.14.196,port_443_open,607
157.240.14.216,port_80_open,627
157.240.15.20,port_80_open,432
157.240.15.40,port_443_open,452
157.240.15.60,port_80_open,472
151.101.0.0,port_80_open,252
151.101.0.20,port_80_open,272
151.101.0.40,port_80_open,292
151.101.0.60,port_80_open,312
151.101.0.80,port_80_open,332
151.101.0.100,port_80_open,352
151.101.0.120,port_80_open,372
151.101.0.140,port_80_open,392
151.101.0.160,port_80_open,412
151.101.0.180,port_80_open,432
151.101.0.200,port_80_open,452
151.101.0.220,port_80_open,472
151.101.0.240,port_80_open,492
151.101.1.4,port_80_open,257
151.101.1.24,port_80_open,277
151.101.1.44,port_80_open,297
151.101.1.64,port_80_open,317
151.101.1.84,port_80_open,337
151.101.1.104,port_80_open,357
151.101.1.124,port_80_open,377
151.101.1.144,port_80_open,397
151.101.1.164,port_80_open,417
151.101.1.184,port_80_open,437
151.101.1.204,port_80_open,457
151.101.1.224,port_80_open,477
151.101.1.244,port_80_open,497
151.101.2.8,port_80_open,262
151.101.2.28,port_80_open,282
151.101.2.48,port_80_open,302
151.101.2.68,port_80_open,322
151.101.2.88,port_80_open,342
151.101.2.108,port_80_open,362
151.101.2.128,port_80_open,382
151.101.2.148,port_80_open,402
151.101.2.168,port_80_open,422
151.101.2.188,port_80_open,442
151.101.2.208,port_80_open,462
151.101.2.228,port_80_open,482
151.101.2.248,port_80_open,502
151.101.3.12,port_80_open,267
151.101.3.32,port_80_open,287
151.101.3.52,port_80_open,307
151.101.3.72,port_80_open,327
151.101.3.92,port_80_open,347
151.101.3.112,port_80_open,367
151.101.3.132,port_80_open,387
151.101.3.152,port_80_open,407
151.101.3.172,port_80_open,427
151.101.3.192,port_80_open,447
151.101.3.212,port_80_open,467
151.101.3.232,port_80_open,487
151.101.3.252,port_80_open,507
151.101.4.16,port_80_open,272
151.101.4.36,port_80_open,292
151.101.4.56,port_80_open,312
151.101.4.76,port_80_open,332
151.101.4.96,port_80_open,352
151.101.4.116,port_80_open,372
151.101.4.136,port_80_open,392
151.101.4.156,port_80_open,412
151.101.4.176,port_80_open,432
151.101.4.196,port_80_open,452
151.101.4.216,port_80_open,472
151.101.4.236,port_80_open,492
151.101.5.0,port_80_open,257
151.101.5.20,port_80_open,277
151.101.5.40,port_80_open,297
151.101.5.60,port_80_open,317
151.101.5.80,port_80_open,337
151.101.5.100,port_80_open,357
151.101.5.120,port_80_open,377
151.101.5.140,port_80_open,397
151.101.5.160,port_80_open,417
151.101.5.180,port_80_open,437
151.101.5.200,port_80_open,457
151.101.5.220,port_80_open,477
151.101.5.240,port_80_open,497
151.101.6.4,port_80_open,262
151.101.6.24,port_80_open,282
151.101.6.44,port_80_open,302
151.101.6.64,port_80_open,322
151.101.6.84,port_80_open,342
151.101.6.104,port_80_open,362
151.101.6.124,port_80_open,382
151.101.6.144,port_80_open,402
151.101.6.164,port_80_open,422
151.101.6.184,port_80_open,442
151.101.6.204,port_80_open,462
151.101.6.224,port_80_open,482
151.101.6.244,port_80_open,502
151.101.7.8,port_80_open,267
151.101.7.28,port_80_open,287
151.101.7.48,port_80_open,307
151.101.7.68,port_80_open,327
151.101.7.88,port_80_open,347
151.101.7.108,port_80_open,367
151.101.7.128,port_80_open,387
151.101.7.148,port_80_open,407
151.101.7.168,port_80_open,427
151.101.7.188,port_80_open,447
151.101.7.208,port_80_open,467
151.101.7.228,port_80_open,487
151.101.7.248,port_80_open,507
151.101.8.12,port_80_open,272
151.101.8.32,port_80_open,292
151.101.8.52,port_80_open,312
151.101.8.72,port_80_open,332
151.101.8.92,port_80_open,352
151.101.8.112,port_80_open,372
151.101.8.132,port_80_open,392
151.101.8.152,port_80_open,412
151.101.8.172,port_80_open,432
151.101.8.192,port_80_open,452
151.101.8.212,port_80_open,472
151.101.8.232,port_80_open,492
151.101.8.252,port_80_open,512
151.101.9.16,port_80_open,277
151.101.9.36,port_80_open,297
151.101.9.56,port_80_open,317
151.101.9.76,port_80_open,337
151.101.9.96,port_80_open,357
151.101.9.116,port_80_open,377
151.101.9.136,port_80_open,397
151.101.9.156,port_80_open,417
151.101.9.176,port_80_open,437
151.101.9.196,port_80_open,457
151.101.9.216,port_80_open,477
151.101.9.236,port_80_open,497
151.101.10.0,port_80_open,262
151.101.10.20,port_80_open,282
151.101.10.40,port_80_open,302
151.101.10.60,port_80_open,322
151.101.10.80,port_80_open,342
151.101.10.100,port_80_open,362
151.101.10.120,port_80_open,382
151.101.10.140,port_80_open,402
151.101.10.160,port_80_open,422
151.101.10.180,port_80_open,442
151.101.10.200,port_80_open,462
151.101.10.220,port_80_open,482
151.101.10.240,port_80_open,502
151.101.11.4,port_80_open,267
151.101.11.24,port_80_open,287
151.101.11.44,port_80_open,307
151.101.11.64,port_80_open,327
151.101.11.84,port_80_open,347
151.101.11.104,port_80_open,367
151.101.11.124,port_80_open,387
151.101.11.144,port_80_open,407
151.101.11.164,port_80_open,427
151.101.11.184,port_80_open,447
151.101.11.204,port_80_open,467
151.101.11.224,port_80_open,487
151.101.11.244,port_80_open,507
151.101.12.8,port_80_open,272
151.101.12.28,port_80_open,292
151.101.12.48,port_80_open,312
151.101.12.68,port_80_open,332
151.101.12.88,port_80_open,352
151.101.12.108,port_80_open,372
151.101.12.128,port_80_open,392
151.101.12.148,port_80_open,412
151.101.12.168,port_80_open,432
151.101.12.188,port_80_open,452
151.101.12.208,port_80_open,472
151.101.12.228,port_80_open,492
151.101.12.248,port_80_open,512
151.101.13.12,port_80_open,277
151.101.13.32,port_80_open,297
151.101.13.52,port_80_open,317
151.101.13.72,port_80_open,337
151.101.13.92,port_80_open,357
151.101.13.112,port_80_open,377
151.101.13.132,port_80_open,397
151.101.13.152,port_80_open,417
151.101.13.172,port_80_open,437
151.101.13.192,port_80_open,457
151.101.13.212,port_80_open,477
151.101.13.232,port_80_open,497
151.101.13.252,port_80_open,517
151.101.14.16,port_80_open,282
151.101.14.36,port_80_open,302
151.101.14.56,port_80_open,322
151.101.14.76,port_80_open,342
151.101.14.96,port_80_open,362
151.101.14.116,port_80_open,382
151.101.14.136,port_80_open,402
151.101.14.156,port_80_open,422
151.101.14.176,port_80_open,442
151.101.14.196,port_80_open,462
151.101.14.216,port_80_open,482
151.101.14.236,port_80_open,502
151.101.15.0,port_80_open,267
151.101.15.20,port_80_open,287
151.101.15.40,port_80_open,307
151.101.15.60,port_80_open,327
151.101.15.80,port_80_open,347
151.101.15.100,port_80_open,367
151.101.15.120,port_80_open,387
151.101.15.140,port_80_open,407
35.190.0.0,port_80_open,225
35.190.0.10,port_80_open,235
35.190.0.20,port_80_open,245
35.190.0.30,port_80_open,255
35.190.0.40,port_80_open,265
